code_commune,nom_commune,epci_nom,categorie_priorite,score_fragilite,nb_commerces_manquants,liste_manquants
59001,ABANCOURT,CA de Cambrai,Priorité B,43.23,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59002,ABSCON,CA de la Porte du Hainaut,Priorité B,51.63,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59003,AIBES,CA Maubeuge Val de Sambre,Priorité A,57.74,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59006,AMFROIPRET,CC du Pays de Mormal,Priorité B,48.78,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59007,ANHIERS,CA Douaisis Agglo,Priorité B,51.81,6,"Boulangerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59009,VILLENEUVE-D'ASCQ,Métropole Européenne de Lille,Priorité B,50.35,2,"Coiffeur, Bar-Café"
59014,ANZIN,CA Valenciennes Métropole,Priorité B,56.02,2,"Coiffeur, Bar-Café"
59024,AUBERCHICOURT,CA Coeur d'Ostrevent,Priorité B,50.25,5,"Boulangerie, Épicerie, Boucherie, Coiffeur, Bar-Café"
59028,AUBY,CA Douaisis Agglo,Priorité B,54.4,4,"Boulangerie, Tabac-Presse, Coiffeur, Bar-Café"
59035,AVESNELLES,CC Coeur de l'Avesnois,Priorité B,50.49,4,"Boulangerie, Tabac-Presse, Coiffeur, Bar-Café"
59036,AVESNES-SUR-HELPE,CC Coeur de l'Avesnois,Priorité A,62.28,4,"Boulangerie, Épicerie, Coiffeur, Bar-Café"
59038,AVESNES-LE-SEC,CA de la Porte du Hainaut,Priorité B,46.24,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59039,AWOINGT,CA de Cambrai,Priorité B,43.06,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59042,BACHY,CC Pévèle-Carembault,Priorité B,39.32,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59046,BAMBECQUE,CC des Hauts de Flandre,Priorité B,50.81,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59048,BANTIGNY,CA de Cambrai,Priorité B,44.97,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
