code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59001,ABANCOURT,CA de Cambrai,441.0,6.22,8,3,5,62.5,6.802721088435374,-2,15.62,0.12,23.43,4.05,43.23,Q2-Stable,3.0,Désertifié,Priorité B
59002,ABSCON,CA de la Porte du Hainaut,4108.0,19.24,95,35,60,63.1578947368421,8.519961051606622,-25,15.79,0.27,23.04,12.54,51.63,Q4-Fragile,1.0,Précaire,Priorité B
59003,AIBES,CA Maubeuge Val de Sambre,350.0,11.69,2,0,2,100.0,0.0,-2,25.0,0.12,25.0,7.62,57.74,Q4-Fragile,3.0,Désertifié,Priorité A
59004,AIX-EN-PEVELE,CC Pévèle-Carembault,1338.0,4.01,27,11,16,59.25925925925925,8.221225710014947,-5,14.81,0.14,23.1,2.61,40.68,Q1-Dynamique,3.0,Désertifié,Non prioritaire
59005,ALLENNES-LES-MARAIS,Métropole Européenne de Lille,3545.0,8.2,80,31,49,61.25000000000001,8.744710860366714,-18,15.31,0.22,22.98,5.34,43.86,Q2-Stable,3.0,Désertifié,Non prioritaire
59006,AMFROIPRET,CC du Pays de Mormal,619.0,4.88,6,1,5,83.33333333333334,1.6155088852988693,-4,20.83,0.14,24.63,3.18,48.78,Q4-Fragile,3.0,Désertifié,Priorité B
59007,ANHIERS,CA Douaisis Agglo,888.0,13.34,12,3,9,75.0,3.3783783783783785,-6,18.75,0.15,24.22,8.69,51.81,Q4-Fragile,3.0,Désertifié,Priorité B
59008,ANICHE,CA Coeur d'Ostrevent,9963.0,21.72,350,155,195,55.71428571428572,15.557562983037238,-40,13.93,0.36,21.41,14.15,49.85,Q4-Fragile,1.0,Précaire,Non prioritaire
59009,VILLENEUVE-D'ASCQ,Métropole Européenne de Lille,62868.0,16.22,2816,1115,1701,60.40482954545454,17.73557294649106,-586,15.1,3.77,20.91,10.57,50.35,Q4-Fragile,1.0,Précaire,Priorité B
59010,ANNEUX,CA de Cambrai,258.0,11.11,11,7,4,36.36363636363637,27.13178294573644,3,9.09,0.09,18.74,7.24,35.17,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59011,ANNŒULLIN,Métropole Européenne de Lille,10847.0,11.42,292,120,172,58.9041095890411,11.062966718908454,-52,14.73,0.44,22.45,7.44,45.05,Q3-Fragilisé,3.0,Désertifié,Non prioritaire
59012,ANOR,CC du Sud Avesnois,3099.0,18.21,120,53,67,55.833333333333336,17.102291061632783,-14,13.96,0.2,21.06,11.86,47.08,Q3-Fragilisé,1.0,Précaire,Non prioritaire
59013,ANSTAING,Métropole Européenne de Lille,1631.0,6.55,37,14,23,62.16216216216216,8.583690987124463,-9,15.54,0.17,23.02,4.27,43.0,Q2-Stable,3.0,Désertifié,Non prioritaire
59014,ANZIN,CA Valenciennes Métropole,13183.0,26.26,567,199,368,64.90299823633157,15.095198361526208,-169,16.23,1.17,21.52,17.11,56.02,Q4-Fragile,1.0,Précaire,Priorité B
59015,ARLEUX,CA Douaisis Agglo,3125.0,13.5,98,40,58,59.18367346938776,12.8,-18,14.8,0.22,22.05,8.8,45.87,Q3-Fragilisé,0.0,Dynamique,Non prioritaire
59016,ARMBOUTS-CAPPEL,CU de Dunkerque,2077.0,8.89,33,19,14,42.42424242424242,9.1478093403948,5,10.61,0.08,22.89,5.79,39.37,Q1-Dynamique,0.0,Dynamique,Non prioritaire
