code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59001,ABANCOURT,200068500,CA de Cambrai,CA,441.0,6.22,,8,3,5,62.5,6.802721088435374
59002,ABSCON,200042190,CA de la Porte du Hainaut,CA,4108.0,19.24,9090.0,95,35,60,63.1578947368421,8.519961051606622
59003,AIBES,200043396,CA Maubeuge Val de Sambre,CA,350.0,11.69,,2,0,2,100.0,0.0
59004,AIX-EN-PEVELE,200041960,CC Pévèle-Carembault,CC,1338.0,4.01,,27,11,16,59.25925925925925,8.221225710014947
59005,ALLENNES-LES-MARAIS,200093201,Métropole Européenne de Lille,METRO,3545.0,8.2,9350.0,80,31,49,61.25000000000001,8.744710860366714
59006,AMFROIPRET,200043321,CC du Pays de Mormal,CC,619.0,4.88,,6,1,5,83.33333333333334,1.6155088852988693
59007,ANHIERS,200044618,CA Douaisis Agglo,CA,888.0,13.34,,12,3,9,75.0,3.3783783783783785
59008,ANICHE,245901152,CA Coeur d'Ostrevent,CA,9963.0,21.72,7340.0,350,155,195,55.714285714285715,15.557562983037238
59009,VILLENEUVE-D'ASCQ,200093201,Métropole Européenne de Lille,METRO,62868.0,16.22,7340.0,2816,1115,1701,60.40482954545454,17.73557294649106
59010,ANNEUX,200068500,CA de Cambrai,CA,258.0,11.11,,11,7,4,36.36363636363637,27.131782945736433
59011,ANNŒULLIN,200093201,Métropole Européenne de Lille,METRO,10847.0,11.42,8550.0,292,120,172,58.9041095890411,11.062966718908454
59012,ANOR,200043404,CC du Sud Avesnois,CC,3099.0,18.21,7460.0,120,53,67,55.833333333333336,17.102291061632783
59013,ANSTAING,200093201,Métropole Européenne de Lille,METRO,1631.0,6.55,,37,14,23,62.16216216216216,8.583690987124463
59014,ANZIN,245901160,CA Valenciennes Métropole,CA,13183.0,26.26,6980.0,567,199,368,64.90299823633157,15.095198361526208
59015,ARLEUX,200044618,CA Douaisis Agglo,CA,3125.0,13.5,9610.0,98,40,58,59.183673469387756,12.8
59016,ARMBOUTS-CAPPEL,245900428,CU de Dunkerque,CU,2077.0,8.89,,33,19,14,42.42424242424242,9.1478093403948
59017,ARMENTIERES,200093201,Métropole Européenne de Lille,METRO,26998.0,17.61,7450.0,1161,466,695,59.86218776916451,17.260537817616118
59018,ARNEKE,200040947,CA Coeur de Flandre,CA,1594.0,12.01,,47,20,27,57.446808510638306,12.547051442910915
59019,ARTRES,245901160,CA Valenciennes Métropole,CA,1082.0,8.35,,19,10,9,47.368421052631575,9.242144177449168
59021,ASSEVENT,200043396,CA Maubeuge Val de Sambre,CA,1769.0,13.94,,31,15,16,51.61290322580645,8.47936687394008
59022,ATTICHES,200041960,CC Pévèle-Carembault,CC,2245.0,8.46,8780.0,52,26,26,50.0,11.58129175946548
59023,AUBENCHEUL-AU-BAC,200068500,CA de Cambrai,CA,549.0,11.55,,22,6,16,72.72727272727273,10.92896174863388
59024,AUBERCHICOURT,245901152,CA Coeur d'Ostrevent,CA,4626.0,17.07,8410.0,109,40,69,63.30275229357798,8.646779074794638
59025,AUBERS,200093201,Métropole Européenne de Lille,METRO,1749.0,6.8,,42,21,21,50.0,12.006861063464836
59026,AUBIGNY-AU-BAC,200044618,CA Douaisis Agglo,CA,1143.0,13.11,,38,15,23,60.526315789473685,13.123359580052494
59027,AUBRY-DU-HAINAUT,245901160,CA Valenciennes Métropole,CA,1705.0,8.91,,28,14,14,50.0,8.211143695014663
59028,AUBY,200044618,CA Douaisis Agglo,CA,7083.0,23.36,8110.0,218,77,141,64.6788990825688,10.871099816461951
59029,AUCHY-LEZ-ORCHIES,200041960,CC Pévèle-Carembault,CC,1599.0,8.72,,37,13,24,64.86486486486487,8.130081300813009
59031,AUDIGNIES,200043321,CC du Pays de Mormal,CC,359.0,3.53,,9,3,6,66.66666666666666,8.356545961002785
59032,AULNOY-LEZ-VALENCIENNES,245901160,CA Valenciennes Métropole,CA,7080.0,18.39,7990.0,205,101,104,50.73170731707317,14.26553672316384
59033,AULNOYE-AYMERIES,200043396,CA Maubeuge Val de Sambre,CA,8612.0,24.2,8130.0,282,140,142,50.35460992907801,16.25638643752903
59034,AVELIN,200041960,CC Pévèle-Carembault,CC,2561.0,5.5,,103,53,50,48.54368932038835,20.695040999609528
59035,AVESNELLES,200043263,CC Coeur de l'Avesnois,CC,2232.0,17.0,8380.0,68,23,45,66.17647058823529,10.304659498207885
59036,AVESNES-SUR-HELPE,200043263,CC Coeur de l'Avesnois,CC,4012.0,38.37,5260.0,260,87,173,66.53846153846153,21.684945164506484
59037,AVESNES-LES-AUBERT,200030633,CA du Caudrésis et du Catésis,CA,3562.0,15.73,8160.0,119,64,55,46.21848739495798,17.967434025828187
59038,AVESNES-LE-SEC,200042190,CA de la Porte du Hainaut,CA,1458.0,9.82,,32,11,21,65.625,7.544581618655693
59039,AWOINGT,200068500,CA de Cambrai,CA,757.0,6.24,,13,5,8,61.53846153846154,6.605019815059445
59041,BACHANT,200043396,CA Maubeuge Val de Sambre,CA,2230.0,17.73,9010.0,57,30,27,47.368421052631575,13.452914798206278
59042,BACHY,200041960,CC Pévèle-Carembault,CC,1898.0,6.8,,28,15,13,46.42857142857143,7.903055848261328
59043,BAILLEUL,200040947,CA Coeur de Flandre,CA,14732.0,10.61,9160.0,534,236,298,55.80524344569289,16.01954928047787
59044,BAISIEUX,200093201,Métropole Européenne de Lille,METRO,5545.0,6.03,10580.0,142,61,81,57.04225352112676,11.000901713255185
