naf_classe_libelle,total_etablissements,nb_fermes,nb_actifs,taux_fermeture
Commerce de détail alimentaire en magasin spécialisé (ancien code),107,107,0,100.0
Commerce de détail d'équipements de l'information et de la communication (ancien code),489,489,0,100.0
Commerce de détail en magasin non spécialisé (ancien code),262,262,0,100.0
"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés",3353,2505,848,74.71
Commerce de détail de matériels audio et vidéo en magasin spécialisé,154,111,43,72.08
"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé",795,571,224,71.82
Commerce de détail alimentaire sur éventaires et marchés,3157,2174,983,68.86
Autres commerces de détail sur éventaires et marchés,9985,6859,3126,68.69
Commerce de détail de journaux et papeterie en magasin spécialisé,644,437,207,67.86
Commerce de détail de biens d'occasion en magasin,1551,1051,500,67.76
"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé",806,545,261,67.62
Commerce de détail d'appareils électroménagers en magasin spécialisé,463,313,150,67.6
Commerce de détail de carburants en magasin spécialisé,451,304,147,67.41
Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,1274,852,422,66.88
"Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé",937,623,314,66.49
Commerce de détail de textiles en magasin spécialisé,687,456,231,66.38
Commerce de détail d'habillement en magasin spécialisé,7159,4750,2409,66.35
Commerce de détail de fruits et légumes en magasin spécialisé,679,448,231,65.98
"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé",173,114,59,65.9
"Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé",2707,1756,951,64.87
Commerce de détail de matériels de télécommunication en magasin spécialisé,720,461,259,64.03
Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,1000,640,360,64.0
Commerce de détail d'articles de sport en magasin spécialisé,1031,651,380,63.14
"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé",141,89,52,63.12
Autre commerce de détail de biens neufs en magasin spécialisé,5531,3382,2149,61.15
Commerce de détail de produits à base de tabac en magasin spécialisé,336,204,132,60.71
Commerce de détail de boissons en magasin spécialisé,548,332,216,60.58
Commerce de détail en magasin non spécialisé à prédominance alimentaire,5108,3084,2024,60.38
"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",2396,1446,950,60.35
Commerce de détail de livres en magasin spécialisé,349,210,139,60.17
Autres commerces de détail alimentaires en magasin spécialisé ,1064,629,435,59.12
Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,1965,1153,812,58.68
Commerce de détail de jeux et jouets en magasin spécialisé,314,184,130,58.6
Vente à distance,17305,9992,7313,57.74
Autre commerce de détail en magasin non spécialisé,1189,678,511,57.02
Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,555,316,239,56.94
Commerce de détail de produits pharmaceutiques en magasin spécialisé,2185,1116,1069,51.08
"Autres commerces de détail hors magasin, éventaires ou marchés",19730,9229,10501,46.78
Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,868,405,463,46.66
